	equation	log_k	delta_h	gamma	d_w	v_m	millero	activity_water	add_logk	llnl_gamma	co2_llnl_gamma	erm_ddl	no_check	mole_balance	source
3614	- 2H+     + 1Ho+3     + 1H2(PO4)-     = Ho(PO4)	-6.96											False		sit.dat
3615	- 4H+     + 1Ho+3     + 2H2(PO4)-     = Ho(PO4)2-3	-17.82											False		sit.dat
3616	1Ho+3     + 1SO4-2     = Ho(SO4)+	3.4	('15.387',)										False		sit.dat
3617	1Ho+3     + 2SO4-2     = Ho(SO4)2-	4.9	('23.670',)										False		sit.dat
3618	1Ho+3     + 1Cl-     = HoCl+2	0.74	('22.013',)										False		sit.dat
3619	1Ho+3     + 2Cl-     = HoCl2+	-0.29	('36.300',)										False		sit.dat
3620	1Ho+3     + 1F-     = HoF+2	4.33	('25.761',)										False		sit.dat
3621	1Ho+3     + 2F-     = HoF2+	6.52	('21.110',)										False		sit.dat
3622	- 1H+     + 1Ho+3     + 1H4(SiO4)     = HoSiO(OH)3+2	-2.62											False		sit.dat
4082	1Sm+3     + 1CO3-2     = Sm(CO3)+	7.8	('163.392',)										False		sit.dat
4083	1Sm+3     + 2CO3-2     = Sm(CO3)2-	12.8											False		sit.dat
4084	1Sm+3     + 3CO3-2     = Sm(CO3)3-3	14.8											False		sit.dat
4085	1Sm+3     + 1H2(PO4)-     = Sm(H2PO4)+2	2.35											False		sit.dat
4086	1Sm+3     + 1H+     + 1CO3-2     = Sm(HCO3)+2	12.43											False		sit.dat
4087	1Sm+3     - 1H+     + 1H2(PO4)-     = Sm(HPO4)+	-1.61											False		sit.dat
4088	1Sm+3     - 2H+     + 2H2(PO4)-     = Sm(HPO4)2-	-5.02											False		sit.dat
4089	1Sm+3     + 1NO3-     = Sm(NO3)+2	0.9											False		sit.dat
4090	1Sm+3     - 1H+     + 1H2O     = Sm(OH)+2	-7.9	('81.304',)										False		sit.dat
4091	1Sm+3     - 2H+     + 2H2O     = Sm(OH)2+	-15.7	('145.698',)										False		sit.dat
4092	1Sm+3     - 3H+     + 3H2O     = Sm(OH)3	-26.2	('228.395',)										False		sit.dat
4093	1Sm+3     - 4H+     + 4H2O     = Sm(OH)4-	-40.7	('298.594',)										False		sit.dat
4094	1Sm+3     - 2H+     + 1H2(PO4)-     = Sm(PO4)	-7.46											False		sit.dat
4095	1Sm+3     - 4H+     + 2H2(PO4)-     = Sm(PO4)2-3	-18.72											False		sit.dat
4096	1Sm+3     + 1SO4-2     = Sm(SO4)+	3.5	('16.575',)										False		sit.dat
4097	1Sm+3     + 2SO4-2     = Sm(SO4)2-	5.2	('24.910',)										False		sit.dat
4098	1Sm+3     + 1Br-     = SmBr+2	0.23	('17.023',)										False		sit.dat
4099	1Sm+3     + 1Cl-     = SmCl+2	0.72	('22.277',)										False		sit.dat
4100	1Sm+3     + 1F-     = SmF+2	4.21	('24.180',)										False		sit.dat
4101	1Sm+3     + 2F-     = SmF2+	6.43	('18.850',)										False		sit.dat
4102	1Sm+3     - 1H+     + 1H4(SiO4)     = SmSiO(OH)3+2	-2.62											False		sit.dat
